(L)-Ephedrine,hasKey,maccs054
(L)-Ephedrine,hasKey,maccs093
(L)-Ephedrine,hasKey,maccs095
(L)-Ephedrine,hasKey,maccs131
(L)-Ephedrine,hasKey,maccs139
(L)-Ephedrine,hasKey,maccs149
(L)-Ephedrine,hasKey,maccs151
(L)-Ephedrine,hasKey,maccs152
(L)-Ephedrine,hasKey,maccs156
(L)-Ephedrine,hasKey,maccs157
(L)-Ephedrine,hasKey,maccs158
(L)-Ephedrine,hasKey,maccs160
(L)-Ephedrine,hasKey,maccs161
(L)-Ephedrine,hasKey,maccs162
(L)-Ephedrine,hasKey,maccs163
(L)-Ephedrine,hasKey,maccs164
(L)-Ephedrine,hasKey,maccs165
"1,1,1,2-Tetrafluoroethane",hasKey,maccs042
"1,1,1,2-Tetrafluoroethane",hasKey,maccs106
"1,1,1,2-Tetrafluoroethane",hasKey,maccs107
"1,1,1,2-Tetrafluoroethane",hasKey,maccs112
"1,1,1,2-Tetrafluoroethane",hasKey,maccs134
"1,1,1,2-Tetrafluoroethane",hasKey,maccs153
"1,1,1,2-Tetrafluoroethane",hasKey,maccs155
"1,1,1-Trichloroethane",hasKey,maccs103
"1,1,1-Trichloroethane",hasKey,maccs106
"1,1,1-Trichloroethane",hasKey,maccs107
"1,1,1-Trichloroethane",hasKey,maccs112
"1,1,1-Trichloroethane",hasKey,maccs134
"1,1,1-Trichloroethane",hasKey,maccs160
"1,1,2,2-Tetrachloroethane",hasKey,maccs103
"1,1,2,2-Tetrachloroethane",hasKey,maccs107
"1,1,2,2-Tetrachloroethane",hasKey,maccs134
"1,1-Dichloroethane",hasKey,maccs103
"1,1-Dichloroethane",hasKey,maccs107
"1,1-Dichloroethane",hasKey,maccs134
"1,1-Dichloroethane",hasKey,maccs160
"1,1-Dichloroethylene",hasKey,maccs021
"1,1-Dichloroethylene",hasKey,maccs034
"1,1-Dichloroethylene",hasKey,maccs076
"1,1-Dichloroethylene",hasKey,maccs099
"1,1-Dichloroethylene",hasKey,maccs103
"1,1-Dichloroethylene",hasKey,maccs107
"1,1-Dichloroethylene",hasKey,maccs134
"1,1-Difluoroethane",hasKey,maccs042
"1,1-Difluoroethane",hasKey,maccs107
"1,1-Difluoroethane",hasKey,maccs134
"1,1-Difluoroethane",hasKey,maccs160
"1,1-Difluoroethene",hasKey,maccs021
"1,1-Difluoroethene",hasKey,maccs034
